PROBLEMA/RESOLUÇÃO,Pergunta,Resposta
"PM santa cruz- Mateus – erro na prestação de contas – foi cadastrado no a13 2x 
Raí – PM Marcelino vieira – pendência siai obras – usuário relatou q já cadastrou as obras e vinculou aos contratos adm.             Foi informado ao usuário q é possível excluir o item q foi lançado em duplicidade, basta acessar o referido anexo e clicar no ícone da lixeira no processo errado.
", PM santa cruz Mateus – erro na prestação de contas – foi cadastrado no a 2x Raí – PM Marcelino vieira – pendência sai obras – usuário relatou q já cadastrou as obras e vinculou aos contratos adm .," Foi informado ao usuário q é possível excluir o item q foi lançado em duplicidade , basta acessar o referido anexo e clicar no ícone da lixeira no processo errado ."
"Sec Municipal de Educação de Natal - não estava conseguindo localizar o contrato existente para uma determina obra

R: Conforme descrito na mensagem do SIAI Obras, devido o prazo de vigência ter finalizado, esses campos de prazos deverão ser preenchidos para que o contrato seja localizado, conforme pode ser verificado no print encaminhado.
", Sec Municipal de Educação de Natal - não estava conseguindo localizar o contrato existente para uma determina obra," Conforme descrito na mensagem do sai Obras , devido o prazo de vigência ter finalizado , esses campos de prazos deverão ser preenchidos para que o contrato seja localizado , conforme pode ser verificado no print encaminhado ."
"Usuária entrou em contato solicitando informações se existe algum curso sobre o preenchimento do SIAI OBRAS

Informado que no momento não tem nenhum curso, porém existe nossos canais de atendimento que podemos esclarecer dúvidas existentes de preenchimento (telefone e e-mail da CAJ)", Usuária entrou em contato solicitando informações se existe algum curso sobre o preenchimento do sai OBRAS," Informado que no momento não tem nenhum curso , porém existe nossos canais de atendimento que podemos esclarecer dúvidas existentes de preenchimento ( telefone e e-mail da CAJ )"
"28/06 Silmara pereira  - Olá, gostaria de saber quanto ao cadastramento de obras no SIAI Obras no campo de anexar fotos da obra se é para anexar somente uma foto? Visto que se tem vários registros dessas obras, porém nessa aba não comporta mais de um arquivo, então realmente se deve anexar uma única foto?                          se o campo de Anexar fotos ao qual a sra se refere for aquele dentro da parte de medição, é possível inserir mais de uma imagem naquele campo."," 28/06 Silmara pereira - Olá , gostaria de saber quanto ao cadastramento de obras no sai Obras no campo de anexar fotos da obra se é para anexar somente uma foto ? Visto que se tem vários registros dessas obras , porém nessa aba não comporta mais de um arquivo , então realmente se deve anexar uma única foto ?"," se o campo de Anexar fotos ao qual a sra se refere for aquele dentro da parte de medição , é possível inserir mais de uma imagem naquele campo ."
"25/06 PM goianinha – pendências de entregas periódicas - Constam pendências referentes a PREFEITURA MUNICIPAL DE GOIANINHA no Portal do Gestor que impossibilitam emissão de CERTIDÃO. Só que temos recibos de entregas definitivos.                         essas pendências aparecem porque a situação das obras é de INICIADA, caso a mesma tenha sido CONCLUIDA ou PARALISADA, é necessário que a SITUAÇÃO das mesma seja modificada conforme opções existentes.", 25/06 PM goianinha – pendências de entregas periódicas - Constam pendências referentes a PREFEITURA MUNICIPAL DE GOIANINHA no Portal do Gestor que impossibilitam emissão de CERTIDÃO . Só que temos recibos de entregas definitivos .," essas pendências aparecem porque a situação das obras é de INICIADA , caso a mesma tenha sido concluída ou PARALISADA , é necessário que a SITUAÇÃO das mesma seja modificada conforme opções existentes ."
"25/06 Sec inf macaíba – siai obras, erro ao alimentar o sistema -                       Favor explicar o erro encontrado.                           Acessamos todas as obras e não encontramos nenhum erro. Caso a dificuldade seja em lançar as medições, é necessário mudar a SITUAÇÃO da obra, para INICIADA, para liberar o campo de medições."," 25/06 Sec inf macaíba – sai obras , erro ao alimentar o sistema -"," aceitamos todas as obras e não encontramos nenhum erro . Caso a dificuldade seja em lançar as medições , é necessário mudar a SITUAÇÃO da obra , para INICIADA , para liberar o campo de medições ."
"PM Lucrecia -  siai obras - Prezados, ao tentar anexar medições de obras já cadastradas do ano anterior a 2020. Como exemplo no print. Mostra que há indisponibilidade para anexar. A obra está cadastrada dentro do prazo previsto pelo TCE. Aguardo informações. Ana Glícia - Prefeitura de Lucrécia.                           necessário mudar a SITUAÇÃO da obra para INICIADA só após fazer isso q o sistema permite a inserção das medições."," PM lucrei - sai obras - Prezados , ao tentar anexar medições de obras já cadastradas do ano anterior a 2020 . Como exemplo no print . Mostra que há indisponibilidade para anexar . A obra está cadastrada dentro do prazo previsto pelo TCE . Aguardo informações . Ana polícia - Prefeitura de Lucrécia .", necessário mudar a SITUAÇÃO da obra para INICIADA só após fazer isso q o sistema permite a inserção das medições .
"IPEM -  Informamos a essa Corte de Contas que as três pendências que estão expostas no Portal do Gestor duas podem ser banidas, haja visto que houve um lapso da nossa parte quando foi escolher o tipo de serviço.
  Os recibos 164534,164518 refere-se a empresa  ASG - Administração de serviços gerais LTDA , CNPJ 038676720001-97 e os objeto dos CONTRATOS 02/2018 e 03/2018 são de Mão de Obra Especializada conforme pode comprovar os recibos em anexo. Desde já contamos com a vossa compreenção.

R:Conforme informado através de contato telefônico, essa informação da obra vem desde o Anexo 38, o qual foi informado pela Secretaria de Estado da Administração, conforme pode ser verificado na informação do Recibo do Anexo 38 n 164518, informado pela referida Secretaria, conforme print em anexo. 
Caso esses contratos administrativos não sejam relacionados à obra, a informação deverá ser corrigida no Anexo 38."," IPEM - Informamos a essa Corte de Contas que as três pendências que estão expostas no Portal do Gestor duas podem ser banidas , haja visto que houve um lapso da nossa parte quando foi escolher o tipo de serviço . Os recibos 164534,164518 refere-se a empresa as - Administração de serviços gerais LTDA , CNPJ 038676720001-97 e os objeto dos CONTRATOS 02/2018 e 03/2018 são de Mão de Obra Especializada conforme pode comprovar os recibos em anexo . Desde já contamos com a vossa compreensão ."," R : Conforme informado através de contato telefônico , essa informação da obra vem desde o Anexo 38 , o qual foi informado pela Secretaria de Estado da Administração , conforme pode ser verificado na informação do Recibo do Anexo 38 n 164518 , informado pela referida Secretaria , conforme print em anexo . Caso esses contratos administrativos não sejam relacionados à obra , a informação deverá ser corrigida no Anexo 38 ."
Obra de 2016 – é obrigado a cadastrar no siai obras?             Sim é necessário realizar o cadastro do siai obras., Obra de 2016 – é obrigado a cadastrar no sai obras ?, Sim é necessário realizar o cadastro do sai obras .
"PM riacho da cruz – zilton -Estou tentando realizar o CADASTRO DE MEDIÇÃO DA OBRA/SERVIÇO DE ENGENHARIA para envio referente a 3ª Medição (Final) do objeto CONSTRUÇÃO DE PRAÇA NO MUNICÍPIO DE RIACHO DA CRUZ,  no entanto por diversas vezes ao finalizar o preenchimento dos dados após o carregamentos dos arquivos (anexos) é apresentada a seguinte mensagem Não foi Possível cadastrar esta medição, tente Novamente. Outra informação correlata é que no mês de referência (Junho - 06/2021) anteriormente havia sido informado a justificativa que a medição ainda está em análise pela caixa econômica federal e agora após a aprovação foi retirada (excluída) a justificativa para que fosse realizado o cadastro da medição.                Prezado, tente fazer os procedimentos a seguirO nome dos arquivos inseridos não poderão possuir caracteres especiais, acentos, nem coisas do tipo Tente lançar a informação em outra maquina.Tente inserir poucos arquivos e em um segundo momento os arquivos que estão faltando.Caso o erro persista favor entrar em contato, se possivel mande arquivos que estão sendo inseridos e informações digitadas para que possamos simular e verificar o possível erro."," PM riacho da cruz – wilson estou tentando realizar o CADASTRO DE MEDIÇÃO DA OBRA/SERVIÇO DE ENGENHARIA para envio referente a 3ª Medição ( Final ) do objeto CONSTRUÇÃO DE PRAÇA NO MUNICÍPIO DE RIACHO DA CRUZ , no entanto por diversas vezes ao finalizar o preenchimento dos dados após o carregamentos dos arquivos ( anexos ) é apresentada a seguinte mensagem Não foi Possível cadastrar esta medição , tente Novamente . Outra informação correlata é que no mês de referência ( Junho - 06/2021 ) anteriormente havia sido informado a justificativa que a medição ainda está em análise pela caixa econômica federal e agora após a aprovação foi retirada ( excluída ) a justificativa para que fosse realizado o cadastro da medição ."," Prezado , tente fazer os procedimentos a seguir nome dos arquivos inseridos não poderão possuir caracteres especiais , acentos , nem coisas do tipo Tente lançar a informação em outra maquina.Tente inserir poucos arquivos e em um segundo momento os arquivos que estão faltando.Caso o erro persista favor entrar em contato , se possivel mande arquivos que estão sendo inseridos e informações digitais para que possamos simular e verificar o possível erro ."
"ericlenio 996653005 -siai obras - Para modificar o prazo de vigência de uma obra, como proceder?           Foi informado ao usuário q é necessário adicionar um aditivo de prazo no a13 e inserir a data final do prazo.       "," ericlenio 996653005 sai obras - Para modificar o prazo de vigência de uma obra , como proceder", Foi informado ao usuário q é necessário adicionar um aditivo de prazo no a e inserir a data final do prazo .
como informar obras no portal do gestor? Pelo modulo SIAI Obras. , como informar obras no portal do gestor, Pelo modulo sai Obras .
"Siai obras- como deletar uma obra lançada de forma equivocada no sistema, visto que não haveria necessidade de lançá-la e a mesma está gerando pendências de envio.                Foi informado ao usuário que é necessário q o mesmo envie uma solicitação por email na qual deverá constar justificativa para a necessidade de exclusão de obra lançada no siai obras"," sai obras como detetar uma obra lançada de forma equivocada no sistema , visto que não haveria necessidade de lançá-la e a mesma está gerando pendências de envio .", Foi informado ao usuário que é necessário q o mesmo envie uma solicitação por email na qual deverá constar justificativa para a necessidade de exclusão de obra lançada no sai obras
"Pedro – pref espírito santo – siai obras. Quando não há medição , o q colocar na medição?         Seleciona-se a opção de q não houve medição e coloca-se a justificativa."," Pedro – pref espírito santo – sai obras . Quando não há medição , o q colocar na medição ?", Seleciona-se a opção de q não houve medição e coloca-se a justificativa .
"PM carnaubais – alferes – siai obras – relação de pendências para emissão de certidão com relação a obras informa ter resolvido elas mas pendências continuam.            Foi informado ao usuário que as pendências existem pq ainda não foram resolvidas, desta forma, para que elas sumam, é necessário que sejam atendidas.", PM carnaubais – alferes – sai obras – relação de pendências para emissão de certidão com relação a obras informa ter resolvido elas mas pendências continuam .," Foi informado ao usuário que as pendências existem pé ainda não foram resolvidas , desta forma , para que elas subam , é necessário que sejam atendidas ."
"FS Carnaubais - dúvida para localizar o recibo do contrato existente no Anexo 13.

Informado que além do número do recibo é necessário inserir as datas para que o contrato seja identificado.", FS Carnaubais - dúvida para localizar o recibo do contrato existente no Anexo 13 ., Informado que além do número do recibo é necessário inserir as datas para que o contrato seja identificado .
"PM CRUZETA - Dúvida sobre consultar o numero do recibo que não aparece.

Informado que é necessário informar a data de inicio e termino de vigência do contrato para que o mesmo seja localizado ", PM cruzada - Dúvida sobre consultar o numero do recibo que não aparece ., Informado que é necessário informar a data de inicio e termino de vigência do contrato para que o mesmo seja localizado
"Pm santana do mato – obras – pendências em medições e de ausência de termo de recebimento definitivo o q fazer?  .   com relação as pendências de recebimento definitivo , é necessário que o termo seja inserido para que a pendência seja sanada.", Pm santana do mato – obras – pendências em medições e de ausência de termo de recebimento definitivo o q fazer," . com relação as pendências de recebimento definitivo , é necessário que o termo seja inserido para que a pendência seja sanada ."
"oa tarde,

Recebemos um relatório de pendências junto ao TCE (anexo).

Ocorre que umas das pendências é: A Obra/serviço de engenharia cadastrada no SIAI Obras (código n°: 332.006.2021) não tem termo de recebimento definitivo a mais de 90 dias da data do termo de recebimento provisório.

Já afirmando que de fato a obra ainda não foi recebida definitivamente, por questões diversas, o que devemos fazer? Tem algum campo para expormos os motivos para o não recebimento? Ou fica pendente até o recebimento?

Fico no aguardo de qual procedimento devemos fazer.

bom dia deixa a obra pendente ate o recebimento do termo
"," Ocorre que umas das pendências é : A Obra/serviço de engenharia cadastrada no sai Obras ( código n° : 332.006.2021 ) não tem termo de recebimento definitivo a mais de 90 dias da data do termo de recebimento provisório . Já afirmando que de fato a obra ainda não foi recebida definitivamente , por questões diversas , o que devemos fazer ? Tem algum campo para expomos os motivos para o não recebimento ? Ou fica pendente até o recebimento ?", Ou fica pendente até o recebimento ? bom dia deixa a obra pendente ate o recebimento do termo
como excluir uma medição? em gerenciar obraas., como excluir uma medição, em gerenciar obras .
como dar permissão no modulo obras? foi demostrando no tceadmin como criar o usuário, como dar permissão no modulo obras, foi demostrando no tceadmin como criar o usuário
"Ruan – Santana do matos – siai obras – ao fazer o cadastro, em situação, a pessoa assinou dia 29/01  so q a obra foi iniciada depois .          foi informado ao usuário que ele deverá informar que em jan e fev não teve medição."," Ruan – Santana do matos – sai obras – ao fazer o cadastro , em situação , a pessoa assinou dia 29/01 so q a obra foi iniciada depois .", foi informado ao usuário que ele deverá informar que em jan e fev não teve medição .
Pm mossoro – carla - Siai obras – usuária relata não estar conseguindo acessar o siai obras e gostaria de saber se está tendo problemas             foi informado a usuária que não está ocorrendo nenhum problema ., Pm monstro – carla - sai obras – usuária relata não estar conseguindo acessar o sai obras e gostaria de saber se está tendo problemas, foi informado a usuária que não está ocorrendo nenhum problema .
"Exclusão de obra em duplicidade. Usuári oinforma que enviou email informando a necessidade de exclusão de uma dada obra, mas viu q se referiu a uma obra errada. Entrou em contato a fim de informar a obra certa.             Foi enviado um email a ele pedindo confirmação do numero da obra a ser excluída."," Exclusão de obra em duplicidade . usuário informa que enviou email informando a necessidade de exclusão de uma dada obra , mas viu q se referiu a uma obra errada . Entrou em contato a fim de informar a obra certa .", Foi enviado um email a ele pedindo confirmação do numero da obra a ser excluída .
"CM UPANEMA = entrou em contato solicitando informações sobre comunicado de envio do siai obras disponibilizado no portal. Informou que não tem obras, como informar isso.

Nesse caso se o órgão não tem obras, não envia nada. Não existe essa opção, apenas enviar obra."," CM UPANEMA = entrou em contato solicitando informações sobre comunicado de envio do sai obras disponibilizado no portal . Informou que não tem obras , como informar isso ."," Nesse caso se o órgão não tem obras , não envia nada . Não existe essa opção , apenas enviar obra ."
"Em qui., 5 de ago. de 2021 às 10:16, Luis Henrique de Almeida Cardoso <luishenrique@caern.com.br> escreveu:Prezados,Ao realizar a alimentação de um contrato no SIAI Obras me deparei com a seguinte situação:foi realizada uma medição no contrato em que o período final de medição foi 18/01/2021.Em seguida foi emitida uma ordem de paralisação a partir de 19/01/2021.Ao inserir o Boletim de Medição primeiro, o sistema não me permite lançar a Ordem de Paralisação, pois informa que há um BM lançado no período.Ao inserir a Ordem de Paralisação primeiro, todo o mês de janeiro fica contabilizado como paralisado, não me permitindo fazer o lançamento do BM em questão.Qual a melhor maneira de resolver essa situação?                                 Prezado, após analise da situação pela equipe de desenvolvimento, foi solicitado para que o sr realize o procedimento da seguinte forma:-Com a obra em Aberto, realize a medição para o referido mês e posteriormente altere a situação da obra, (o sistema anteriormente não permitiu o lançamento assim, mas o pessoal do DEV realizaram os ajustes necessários para que esse lançamento funcione).Fazendo assim, o sistema irá informar que para o periodo não teve medição devido a paralização, embora, ao clicar para ver todas as medições, a que foi inserida conste no sistema. favor informar o êxito na execução da tarefa. "," Em qui. , 5 de ago . de 2021 às 10:16 , Luis Henrique de Almeida Cardoso < luishenrique @ caern.com.br > escreveu : Prezados , Ao realizar a alimentação de um contrato no sai Obras me deparei com a seguinte situação : foi realizada uma medição no contrato em que o período final de medição foi 18/01/2021.Em seguida foi emitida uma ordem de paralisação a partir de 19/01/2021.Ao inserir o Boletim de Medição primeiro , o sistema não me permite lançar a Ordem de Paralisação , pois informa que há um BM lançado no período.Ao inserir a Ordem de Paralisação primeiro , todo o mês de janeiro fica contabilizado como paralisado , não me permitindo fazer o lançamento do BM em questão.Qual a melhor maneira de resolver essa situação ?"," Prezado , após analise da situação pela equipe de desenvolvimento , foi solicitado para que o sr realize o procedimento da seguinte forma : com a obra em Aberto , realize a medição para o referido mês e posteriormente altere a situação da obra , ( o sistema anteriormente não permitiu o lançamento assim , mas o pessoal do de realizaram os ajustes necessários para que esse lançamento funcione ) .Fazendo assim , o sistema irá informar que para o periodo não teve medição devido a paralização , embora , ao clicar para ver todas as medições , a que foi inserida conste no sistema . favor informar o êxito na execução da tarefa ."
George - Foi cadastrado de forma equivocada a obra:732.001.2021como sendo do fundo municipal de saúde. E a mesma deveria ser cadastrada pela prefeitura Municipal de Janduis.Preciso que vcs modifiquem essa forma cadastral.                              necessário reenviar tudo pelo órgão correto e solicitar a exclusão da informação incluída de forma errada., George - Foi cadastrado de forma equivocada a obra:732.001.2021como sendo do fundo municipal de saúde . E a mesma deveria ser cadastrada pela prefeitura Municipal de Janduis.Preciso que vcs modifiquem essa forma cadastral ., necessário reenviar tudo pelo órgão correto e solicitar a exclusão da informação incluída de forma errada .
"Segue em anexo os erros encontrados na Obra de Número 14, código(1246.005.2021), que tem como objeto: SERVIÇOS DE PAVIMENTAÇÃO EDRENAGEM SUPERFICIAL EM DIVERSAS RUAS NA COMUNIDADE DE RECANTO VERDE -MACAÍBA/RN. A mesma não está obtendo êxito em sua entrada, como nocarregamento de suas informações, e no lançamento de suas medições.Hoje 14/09/2021, continuamos tendo problema com o acesso da Obra mencionada acima.                             Prezado, realizamos a abertura da referida obra sem maiores problemas.o sr tentou acessar a obra relatada em outro computador? Caso não tenha realizado esse teste, favor fazê-lo. Se o problema persistir, favor enviar o usuário e senha para realizarmos testes com o mesmo."," Segue em anexo os erros encontrados na Obra de Número 14 , código ( 1246.005.2021 ) , que tem como objeto : SERVIÇOS DE PAVIMENTAÇÃO drenagem SUPERFICIAL EM DIVERSAS RUAS NA COMUNIDADE DE RECANTO VERDE -MACAÍBA/RN . A mesma não está obtendo êxito em sua entrada , como carregamento de suas informações , e no lançamento de suas medições.Hoje 14/09/2021 , continuamos tendo problema com o acesso da Obra mencionada acima ."," Prezado , realizamos a abertura da referida obra sem maiores problemas sr tentou acessar a obra relatada em outro computador ? Caso não tenha realizado esse teste , favor fazê-lo . Se o problema persistir , favor enviar o usuário e senha para realizarmos testes com o mesmo ."
"16/09 Temos uma obra que cadastramos (custo abaixo de 50.000,00), a obra foi importada mas não está atualizada. A obra que já foi cadastrada podemos solicitar o cancelamento de cadastro já que não é obrigatório (conforme prevista na resolução número 25/2020 do TCE, de 15 de dezembro de 2020) ou deveremos sanar as pendências que foram geradas?  Em caso de cancelamento, por onde devemos solicitar e qual a documentação necessária?                é possível excluir as obras sim, mas é necessário que seja enviado e-mail solicitando a exclusão e deverá conter dados da obra, motivo e órgão na qual a mesma encontra-se cadastrada."," 16/09 Temos uma obra que cadastros ( custo abaixo de 50.000,00 ) , a obra foi importada mas não está atualizada . A obra que já foi cadastrada podemos solicitar o cancelamento de cadastro já que não é obrigatório ( conforme prevista na resolução número 25/2020 do TCE , de 15 de dezembro de 2020 ) ou deveremos sanar as pendências que foram geradas ? Em caso de cancelamento , por onde devemos solicitar e qual a documentação necessária ?"," é possível excluir as obras sim , mas é necessário que seja enviado e-mail solicitando a exclusão e deverá conter dados da obra , motivo e órgão na qual a mesma encontra-se cadastrada ."
"Flavia pm sao jose mipibu – o siai obras está está com problemas?         Foi pedido pra usuária realizar a tentativa em outra maquina e ela teve exito, desta forma pedimos pra ela entrar em contato com o seu setor de TI a fim de verificar uma solução para a primeira maquina q apresentou problemas.", Flavia pm sao jose mipibu – o sai obras está está com problemas ?," Foi pedido pra usuária realizar a tentativa em outra maquina e ela teve exito , desta forma pedimos pra ela entrar em contato com o seu setor de TI a fim de verificar uma solução para a primeira maquina q apresentou problemas ."
"PM UPANEMA - Dúvida para localizar o recibo do Anexo 13

Informado que tem que inserir os dados tanto do recibo quanto da data da vigência para que o referido contrato seja localizado. ", PM UPANEMA - Dúvida para localizar o recibo do Anexo 13, Informado que tem que inserir os dados tanto do recibo quanto da data da vigência para que o referido contrato seja localizado .
"Sou servidor da Secretaria de Obras do Município de Parnamirim/RN.

O pedido é atinente ao fato de não podermos inserir informações para emissão do recibo do anexo 13 no SIAI FISCAL.

É importante destacar alguns pontos:

- A licitação foi foi realizada em 2008, conforme edital nº 01/2008 através da modalidade de concorrência;
- Não existe anexo 38 da referida licitação (na época não havia a obrigatoriedade);
- No momento do cadastro do anexo 13, as opções do SIAI FISCAL só é permitido o cadastro de contratos até 2011 (então mesmo que tivesse o anexo 38 eu não conseguiria começar o cadastro do anexo 13);
- A partir de junho de 2020, foram realizados informativos referente às medições e ordens de serviços que ouvem ao longo da execução através do anexo 23 (consultar recibo nº 3098, processo de despesa);
- Mesmo com o programa SIAI FISCAL 2008, não conseguimos o êxito.

Com as informações supracitadas, devido a importância e a boa fé de sanar todas as pendências por parte de nossa administração, solicito: a possibilidade do cadastro do anexo 13 pelo portal do gestor.

Bruno Batista dos Santos

R: No exercício 2008 os contratos inseridos no Anexo 13 tinham sua obrigatoriedade de envio bimestralmente  juntamente com as prestações de contas do município, através do Programa Coleta de Dados - SIAI. A partir do exercício 2018 o mesmo passou a ser encaminhado via Portal do Gestor.
Porém, para sanar a pendencia existente e atendendo a sua solicitação, foi disponibilizado o exercício 2008 para envio de contratos através do Anexo 13 e da seguimento no preenchimento da devida obra. (71629)
"," Sou servidor da Secretaria de Obras do Município de Parnamirim/RN . O pedido é atinente ao fato de não podermos inserir informações para emissão do recibo do anexo 13 no sai FISCAL . É importante destacar alguns pontos : - A licitação foi foi realizada em 2008 , conforme edital nº 01/2008 através da modalidade de concorrência ; - Não existe anexo 38 da referida licitação ( na época não havia a obrigatoriedade ) ; - No momento do cadastro do anexo 13 , as opções do sai FISCAL só é permitido o cadastro de contratos até 2011 ( então mesmo que tivesse o anexo 38 eu não conseguiria começar o cadastro do anexo 13 ) ; - A partir de junho de 2020 , foram realizados informativos referente às medições e ordens de serviços que ouvem ao longo da execução através do anexo 23 ( consultar recibo nº 3098 , processo de despesa ) ; - Mesmo com o programa sai FISCAL 2008 , não conseguimos o êxito . Com as informações supracitadas , devido a importância e a boa fé de sanar todas as pendências por parte de nossa administração , solicito : a possibilidade do cadastro do anexo 13 pelo portal do gestor . Bruno Batista dos Santos"," No exercício 2008 os contratos inseridos no Anexo 13 tinham sua obrigatoriedade de envio bimestralmente juntamente com as prestações de contas do município , através do Programa Coleta de Dados - sai . A partir do exercício 2018 o mesmo passou a ser encaminhado via Portal do Gestor . Porém , para sanar a pendencia existente e atendendo a sua solicitação , foi disponibilizado o exercício 2008 para envio de contratos através do Anexo 13 e da seguimento no preenchimento da devida obra . ( 71629 )"
28/09 Iranilson – PM serra do mel – anexo siai obras – obras q constam como pendentes mas q estão repetidas.               É necessário enviar um email pedindo exclusão e dizendo o motivo da exclusão ., 28/09 Iranilson – PM serra do mel – anexo sai obras – obras q constam como pendentes mas q estão repetidas ., É necessário enviar um email pedindo exclusão e dizendo o motivo da exclusão .
"29/09 Bom dia, Segue em anexo o recibo gerado ao cadastrar a obra  CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA OS SERVIÇOS DE REFORMA E REVITALIZAÇÃO DA ORLA DO MUNICIPIO DE MAXARANGUAPE/RN - ETAPA 1, CR 1.040.132-34/2017.É válido informar que, a obra ainda não foi iniciada tampouco gerado medições para pagamento junto a este município.A situação encontra-se Cadastrada.Agradeço desde já a disponibilidade na solução dos problemas.                 Prezada, caso o motivo do contato seja devido a pendências acusadas no Portal do Gestor, as mesmas estão sendo exibidas porque a obra encontra-se com status de iniciada, desta forma há a necessidade de que a mesma seja acompanhada através de medições.Caso a mesma ainda não tenha sido iniciada, é possível modificar a SITUAÇÃO dela para NÃO INICIADA. "," 29/09 Bom dia , Segue em anexo o recibo gerado ao cadastrar a obra CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA OS SERVIÇOS DE REFORMA E REVITALIZAÇÃO DA ORLA DO MUNICIPIO DE MAXARANGUAPE/RN - ETAPA 1 , CR 1.040.132-34/2017.É válido informar que , a obra ainda não foi iniciada tampouco gerado medições para pagamento junto a este município.A situação encontra-se Cadastrada.Agradeço desde já a disponibilidade na solução dos problemas ."," pregada , caso o motivo do contato seja devido a pendências acusadas no Portal do Gestor , as mesmas estão sendo exibidas porque a obra encontra-se com status de iniciada , desta forma há a necessidade de que a mesma seja acompanhada através de medições.Caso a mesma ainda não tenha sido iniciada , é possível modificar a SITUAÇÃO dela para NÃO INICIADA ."
"Segue em anexo as informações da obra de código N° 1246.011.2021, que se encontra na aba da Secretaria de Infraestrutura. A obra se encontra cadastrada e no aguardo de inicialização para que tenha acompanhamento.           caso a obra ainda tenha sido cadastrada e não tenha sido iniciada, é necessário que na parte de SITUAÇÃO seja indicada a opção de NÃO INICIADA , desta forma o sistema deixará de marcar a pendência."," Segue em anexo as informações da obra de código N° 1246.011.2021 , que se encontra na aba da Secretaria de Infraestrutura . A obra se encontra cadastrada e no aguardo de inicialização para que tenha acompanhamento ."," caso a obra ainda tenha sido cadastrada e não tenha sido iniciada , é necessário que na parte de SITUAÇÃO seja indicada a opção de NÃO INICIADA , desta forma o sistema deixará de marcar a pendência ."
"Solicito a EXCLUSÃO de cadastro da obra, conforme print abaixo. Porque a mesma já foi cadastrada de forma correta Localização das obras: Santana do Seridó/RN                    quando a obra está com ENVIO PENDENTE é possível que vocês mesmos excluam ela, basta clicar no painel de gerenciamento, (GERENCIAR OBRA/SERVIÇO) e, clicar no icone da lixeira, que se encontra no final da linha referente a obra ."," Solicito a EXCLUSÃO de cadastro da obra , conforme print abaixo . Porque a mesma já foi cadastrada de forma correta Localização das obras : Santana do Seridó/RN"," quando a obra está com ENVIO PENDENTE é possível que vocês mesmos excluam ela , basta clicar no painel de gerenciamento , ( GERENCIAR OBRA/SERVIÇO ) e , clicar no cone da lixeira , que se encontra no final da linha referente a obra ."
"Sec infra macaíba Segue em anexo as informações da obra de código N° 1246.005.2021, que se encontra na aba da Secretaria de Infraestrutura. A obra está apresentando problemas, já foi mandado vários e-mails inclusive enviados usuário e senha e até o momento não foi solucionado.               foi identificado um erro no siai obras para a obra relacionada acima e já está sendo analisado no outro email enviado.  Em breve enviaremos o contato informando sobre a solução do problema."," Sec infra macaíba Segue em anexo as informações da obra de código N° 1246.005.2021 , que se encontra na aba da Secretaria de Infraestrutura . A obra está apresentando problemas , já foi mandado vários e-mails inclusive enviados usuário e senha e até o momento não foi solucionado .", foi identificado um erro no sai obras para a obra relacionada acima e já está sendo analisado no outro email enviado . Em breve enviaremos o contato informando sobre a solução do problema .
"PM Afonso bezerra - Bom dia, Ao verificar o SIAI Obras percebi que não constam as modificações presentes nos aditivos do contrato informado no Anexo 13, referente ao valor dado pelo Município, conforme anexo.  No Anexo 13, não consigo identificar em qual item devo acrescentar o valor dado pelo Município, tendo em vista que na opção do Aditivo apenas é informado o valor que foi acrescido.  Valor acrescido: 97067,38 (incluído pelo Município) Informação prestada no Aditivo 1/2020 - aditivo de valor, no recibo 126657                  no Anexo 13, só é possível acrescentar o valor através de um aditivo, mas não é possível acrescentar a fonte desse recurso, apenas o valor total acrecido."," PM Afonso bezerra - Bom dia , Ao verificar o sai Obras percebi que não constam as modificações presentes nos aditivos do contrato informado no Anexo 13 , referente ao valor dado pelo Município , conforme anexo . No Anexo 13 , não consigo identificar em qual item devo acrescentar o valor dado pelo Município , tendo em vista que na opção do Aditivo apenas é informado o valor que foi acrescido . Valor acrescido : 97067,38 ( incluído pelo Município ) Informação prestada no Aditivo 1/2020 - aditivo de valor , no recibo 126657"," no Anexo 13 , só é possível acrescentar o valor através de um aditivo , mas não é possível acrescentar a fonte desse recurso , apenas o valor total acrecido ."
"Waleria – PM Afonso bezerra – dificuldade siai obras – pedindo pra anexar a planilha em Excel, mas ao tentar anexar ele não permite . qual o navegador utilizado? Chrome .  tentou fechar e abrir e não deu certo .                 foi realizado teste mas o sistema fucionou normalmente.  Ao conversar com a usuária ela deixou  escapar a informação de estar mexendo em um Macbook, inclusive no Excel e navegador,. Foi sugerido a usuária a realizar nova tentativa através de um computador com Windows nativo."," galeria – PM Afonso bezerra – dificuldade sai obras – pedindo pra anexar a planilha em Excel , mas ao tentar anexar ele não permite . qual o navegador utilizado ? crime . tentou fechar e abrir e não deu certo ."," foi realizado teste mas o sistema funcionou normalmente . Ao conversar com a usuária ela deixou escapar a informação de estar mexendo em um Macbook , inclusive no Excel e navegador , . Foi sugerido a usuária a realizar nova tentativa através de um computador com Windows nativo ."
